area,ciudad,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p3a,s101p3b,s101p4a,s101p4b,s101p4b1,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p13,s101p141,s101p142,s101p143,s101p144,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183
rural,90654,2,2,2,2,2,2,2,0,3,3,0,1,1,1,3,1,1,2,2,1,1,2,1,1,1,2,4,2,2,2,2,4,4,4,3,4,3,3,3,5
rural,90654,2,2,2,2,2,2,0,0,2,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,4,2,2,2,2,5,5,5,5,5,1,5,5,5
rural,90654,2,2,2,2,2,2,2,0,5,5,0,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,4,2,2,2,2,4,4,4,4,4,3,3,3,5
rural,90654,2,2,2,2,2,2,0,0,2,2,0,1,1,1,3,2,2,3,2,1,1,3,2,1,2,2,2,2,2,2,2,4,5,5,5,5,5,4,5,5
rural,90654,1,1,1,1,1,1,4,0,5,5,0,2,1,1,2,1,2,2,2,1,1,2,1,1,1,2,5,2,2,2,2,4,4,4,4,4,1,5,5,5
rural,90654,2,2,2,2,2,2,2,0,3,3,0,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,5,2,2,2,2,5,5,5,3,5,3,4,4,5
rural,90654,2,2,2,2,2,2,4,0,3,3,0,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,4,2,2,2,2,3,4,4,3,3,3,4,4,3
rural,90654,2,2,2,2,2,2,2,0,4,0,0,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,4,4,5,5,4,3,3,3,4
rural,90654,1,1,1,1,1,1,4,0,3,3,3,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,5,2,2,2,2,5,5,5,5,5,1,5,5,5
rural,90654,1,1,1,1,1,1,2,0,6,6,0,1,1,3,2,3,3,2,2,1,1,2,1,1,2,2,4,2,2,2,2,4,4,4,4,4,3,4,4,4
rural,90654,1,1,1,1,1,1,2,0,3,3,0,2,1,3,2,3,3,2,2,1,1,2,1,1,1,2,4,2,2,2,2,5,5,5,5,5,1,5,5,5
rural,90654,1,1,1,1,1,1,3,0,2,2,0,1,1,3,2,3,3,2,2,1,1,2,2,1,1,2,5,2,2,2,2,4,4,4,4,4,1,5,5,5
rural,90654,1,1,1,1,1,1,4,0,2,2,0,1,1,1,3,2,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,5,5,5,5,3,4,4,4
rural,90654,1,1,1,1,1,1,0,0,2,2,0,1,1,2,3,2,2,3,3,2,1,3,2,1,2,2,2,2,2,2,2,3,4,4,4,4,2,2,4,4
rural,90654,1,2,2,2,2,2,0,0,3,1,0,1,1,1,3,2,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,5,5,5,5,5,2,2,3
rural,90654,1,2,2,1,1,2,0,0,3,3,3,1,1,3,3,3,3,3,3,2,2,3,2,1,2,2,3,2,2,2,2,3,4,4,4,4,4,3,4,4
rural,90654,1,1,1,1,1,1,2,0,2,2,0,1,1,3,3,3,3,3,3,1,1,2,1,1,1,2,4,2,2,2,2,5,5,5,5,5,1,5,5,5
rural,90654,1,2,2,2,2,2,0,0,3,3,0,1,1,1,3,2,2,3,2,1,1,2,2,1,2,2,3,2,2,2,2,4,4,4,5,5,3,4,5,5
rural,90654,1,1,1,1,1,1,4,0,4,4,2,1,1,3,3,3,3,3,3,1,1,2,1,1,1,2,4,2,2,2,2,5,5,5,5,5,1,4,4,4
rural,90654,1,1,1,1,1,1,0,0,3,3,0,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,5,5,5,5,5,2,4,3,3
rural,90654,1,2,2,2,2,2,2,0,6,6,0,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,4,4,4,4,4,3,3,3,5
rural,90654,1,1,1,1,1,2,1,0,1,1,0,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,4,4,4,4,4,3,3,3,5
urbana,90750,2,2,2,2,2,2,2,0,2,1,0,1,1,3,3,3,3,3,3,2,1,2,2,1,2,2,2,2,2,2,2,5,5,5,5,5,1,1,1,5
urbana,90750,2,1,1,2,2,2,6,0,3,3,0,1,2,3,3,3,3,3,2,1,1,2,2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,2,1,1,2,1,2,3,0,5,5,0,1,1,3,3,3,3,3,3,1,1,2,2,1,2,2,5,2,2,2,2,5,5,5,1,1,3,5,4,4
urbana,90750,2,1,1,2,2,2,4,0,10,7,0,1,1,3,3,3,3,3,3,2,1,1,2,1,2,2,3,2,2,2,2,5,3,5,1,5,5,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,5,5,0,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,1,5,5,5,5,1,5,5,5
urbana,90750,2,1,1,2,2,2,2,0,4,4,0,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,5,2,2,2,2,4,4,4,2,2,2,4,4,4
urbana,90750,2,2,2,2,2,2,10,0,18,18,0,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,4,2,1,1,1,5,5,5,5,5,1,1,5,5
urbana,90750,2,2,2,2,2,2,6,0,6,6,0,1,1,1,2,1,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,3,5,5,5,5,5,5,5
urbana,90750,2,1,1,2,2,2,2,0,6,6,0,1,2,3,3,3,3,3,3,1,1,2,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,2,1,1,2,2,2,2,0,5,5,0,1,2,3,3,3,3,3,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
urbana,90750,2,1,1,2,1,2,4,0,7,3,0,1,1,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,4
urbana,90750,2,1,1,2,2,2,2,0,3,3,0,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,2,2,2,2,2,2,2,0,4,4,0,1,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5
urbana,90750,2,2,2,2,2,2,6,0,5,5,0,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,4,2,2,2,2,3,4,3,2,3,4,3,3,5
urbana,90750,2,2,2,2,2,2,2,0,3,3,0,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,4,2,2,2,2,3,3,5,5,3,3,5,5,5
urbana,90750,2,2,2,2,2,2,3,0,7,7,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,4,3,4,5,5,3,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,7,7,0,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,3,4,3,4,3,4,2,2,2
urbana,90750,2,2,2,2,2,2,2,0,5,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,2,2,2,2,2,2,2,0,4,4,0,1,2,1,1,2,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,5,5,5,5,5,5,5,5,5
urbana,90750,2,2,2,2,2,2,4,0,5,5,0,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,4,2,2,2,2,4,4,5,5,4,2,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,4,4,0,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,4,2,2,2,2,3,5,3,5,3,5,3,5,3
urbana,90750,2,2,2,2,2,2,2,0,4,4,0,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,5,5,5,5,5,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,4,3,0,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,5,5,4,5,5,5,5,5
urbana,90750,2,2,2,2,2,2,3,0,3,3,0,2,1,1,1,1,2,2,2,1,1,3,1,1,2,2,4,2,2,2,2,2,3,4,3,2,5,5,5,5
urbana,90750,2,2,2,2,2,1,6,0,8,8,0,1,1,3,3,3,3,3,2,1,1,2,2,1,2,2,4,2,2,2,2,5,4,4,2,2,2,4,4,4
urbana,90750,2,2,2,2,2,2,4,0,9,9,0,1,1,3,3,3,3,3,2,1,1,2,2,1,2,2,4,2,2,2,2,5,1,5,5,5,1,1,5,1
urbana,90750,1,1,1,1,2,2,4,4,5,5,0,1,2,3,3,3,3,3,3,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
urbana,90750,1,1,1,1,1,1,2,0,4,4,0,1,1,2,3,2,2,3,2,2,1,2,2,1,2,2,3,2,2,2,2,5,5,5,5,5,1,1,1,1
urbana,90750,1,1,1,1,2,2,4,0,8,8,0,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,2,1,1,2,2,2,2,0,3,3,0,1,2,3,3,3,3,3,2,1,1,2,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,1,1,1,1,1,1,2,2,2,2,0,1,1,3,1,3,3,2,2,1,1,2,2,1,2,2,1,2,2,2,2,4,5,4,2,2,1,5,2,3
urbana,90750,1,1,1,2,2,2,2,0,6,6,0,1,1,3,3,3,3,3,3,1,1,2,1,1,2,2,4,1,2,2,2,5,5,5,5,5,5,5,5,5
urbana,90750,1,1,1,1,1,1,4,0,3,3,0,1,1,3,3,3,3,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,5,3,5,5,1,5,5,5
urbana,90750,1,2,1,2,2,2,5,0,8,8,0,1,1,3,1,3,3,2,2,1,1,2,1,1,2,2,3,2,2,2,2,4,4,4,2,2,1,2,2,2
urbana,90750,1,1,1,1,2,2,2,0,2,2,0,1,1,3,3,3,3,3,3,1,1,2,1,1,2,2,2,2,2,2,2,5,5,5,2,2,4,1,1,1
urbana,90750,1,1,1,2,2,2,0,0,4,4,0,1,2,3,3,3,3,3,3,1,1,2,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,2,2,2,2,2,2,4,0,4,4,0,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,2,2,2,2,2,2,3,0,4,4,0,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,4,2,2,2,2,4,5,4,4,4,3,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,4,4,0,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,3,3,5,5,5,5,5,5,5
urbana,90750,2,1,1,2,2,2,2,0,3,3,0,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,5,5,5,5,4,5,5,5
urbana,90750,2,2,2,2,2,2,4,0,6,6,0,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,3,5,3,4,4,5,5,5,5
urbana,90750,2,2,2,2,2,2,3,0,6,6,0,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,4,2,2,2,2,3,4,2,4,3,5,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,5,5,0,1,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,5,5,5,5,5,4,5,5,5
urbana,90750,2,2,2,2,2,2,6,0,4,4,0,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,3,3,3,3,3,3,4,4,4
urbana,90750,2,2,1,2,2,2,2,0,4,0,0,1,2,1,1,2,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,4,5,5,5,4,5,5,5,5
urbana,90750,2,2,2,2,2,2,6,0,5,5,0,2,1,1,1,1,1,2,2,2,1,3,1,1,2,2,4,2,2,2,2,4,5,4,3,3,2,5,5,5
urbana,90750,2,2,2,2,2,2,6,0,6,6,0,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,4,2,2,2,2,4,5,3,3,4,3,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,5,5,0,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,5,5,5,5,5,5,5,5,5
urbana,90750,2,2,2,2,2,2,6,0,6,6,0,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,4,2,2,2,2,3,5,5,3,5,1,5,5,5
urbana,90750,2,2,2,2,2,2,10,0,7,7,0,1,1,3,3,3,3,2,2,1,1,2,1,1,1,2,3,2,2,2,2,5,3,5,5,5,1,5,1,1
urbana,90750,2,1,1,2,2,2,2,0,7,7,0,1,1,2,1,2,2,2,2,1,1,2,1,1,1,2,3,2,2,2,2,5,4,3,5,5,1,1,5,3
urbana,90750,2,1,1,2,2,2,7,0,12,9,3,1,1,3,3,3,2,2,2,1,1,2,2,1,2,2,4,1,2,2,2,5,5,5,5,5,1,1,5,2
urbana,90750,2,1,1,2,2,2,6,0,4,4,0,1,1,2,3,2,2,2,2,1,1,2,2,1,2,2,3,2,2,2,2,5,5,5,5,5,1,3,3,1
urbana,90750,1,1,1,1,1,2,2,0,8,8,0,1,1,1,1,2,1,2,2,1,1,2,1,1,1,2,3,2,2,2,2,5,4,5,3,4,2,3,3,5
urbana,90750,2,2,2,2,2,2,12,0,4,4,0,2,1,3,1,3,2,2,2,1,1,2,1,1,2,2,4,2,2,2,2,5,5,5,4,5,1,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,3,3,0,1,1,3,3,2,2,2,2,1,1,2,2,1,1,2,3,2,2,2,2,4,4,4,4,4,1,5,3,5
urbana,90750,2,1,1,2,2,2,4,0,8,8,0,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,4,2,2,2,2,5,4,5,5,4,1,5,5,5
urbana,90750,2,2,2,2,2,2,0,0,6,6,0,1,2,2,1,2,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,4,5,5,4,1,5,5,5
urbana,90750,2,1,1,1,1,2,2,0,6,6,0,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,3,2,1,1,2,5,4,5,4,5,4,5,4,5
urbana,90750,2,2,2,2,2,2,3,0,7,7,0,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,4,2,2,2,2,5,5,5,5,5,2,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,3,3,0,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,4,2,2,2,2,4,3,4,5,3,5,5,5,5
urbana,90750,2,1,2,2,2,2,2,0,5,5,0,1,2,1,1,1,2,2,2,1,1,2,1,1,1,2,4,2,2,2,2,5,5,5,5,5,4,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,6,6,0,2,2,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,5,5,5,5,5,5,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,7,7,0,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,5,5,5,5,5,4,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,5,5,0,2,1,1,1,1,2,2,2,1,1,1,2,1,2,2,3,2,2,2,2,3,3,3,5,5,5,3,5,3
urbana,90750,2,2,2,2,2,2,2,0,4,4,0,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,3,3,3,3,3,3,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,4,4,0,1,2,1,1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,8,8,0,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,3,3,0,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,2,2,2,2,2,2,2,2,4,4,0,2,2,1,1,1,2,2,2,2,1,2,1,1,2,2,3,2,2,2,2,5,5,5,5,5,5,5,5,5
urbana,90750,2,2,2,2,2,2,10,0,10,10,0,2,2,1,1,1,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,5,5,5,5,1,1,4,4
urbana,90750,2,2,2,2,2,2,28,0,10,10,10,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,4,1,2,2,2,5,4,4,5,5,1,5,3,5
urbana,90750,2,2,2,2,2,2,7,0,8,8,0,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,4,2,2,2,2,5,4,4,5,5,1,1,5,5
urbana,90750,2,2,2,2,2,2,10,0,12,12,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,5,5,5,5,5,1,1,1,1
urbana,90750,2,2,1,2,2,2,8,4,8,8,0,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,3,2,2,2,2,5,5,5,5,5,1,5,5,5
urbana,90750,2,2,2,2,2,2,2,0,3,2,0,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,3,2,2,2,2,3,4,5,5,4,4,5,4,3
urbana,90750,2,2,2,2,2,2,4,0,4,4,0,2,1,1,1,2,2,2,2,1,1,1,1,1,1,2,3,2,2,2,2,4,4,4,4,3,4,2,3,4
urbana,90750,2,2,1,2,2,2,2,0,10,10,0,2,2,1,1,1,2,2,2,1,1,2,2,1,1,2,4,2,2,2,2,5,5,5,5,5,5,5,5,5
urbana,90750,2,2,2,2,2,2,10,0,10,10,0,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,1,2,2,2,2,5,5,5,2,5,1,3,5,5
urbana,90750,2,1,1,2,1,2,2,0,4,4,0,1,1,1,1,1,2,2,2,1,1,3,2,1,2,2,2,2,2,2,2,4,5,5,5,5,2,3,3,5
urbana,90750,2,2,2,2,2,2,4,0,1,1,0,2,2,1,2,1,2,2,2,1,1,2,1,1,1,2,3,2,2,2,2,4,4,4,4,4,2,3,3,3
urbana,90750,2,2,2,2,2,2,4,0,8,8,0,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,5,5,5,5,1,4,4,5
urbana,90750,1,1,1,1,1,1,4,0,6,6,0,1,2,1,2,1,2,2,2,2,1,2,1,2,2,2,3,2,2,2,2,5,1,5,4,5,1,5,1,3
urbana,90750,1,1,1,1,2,2,4,0,9,9,0,1,1,1,1,2,1,2,1,1,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1
urbana,90750,1,1,1,1,2,2,6,0,6,6,0,1,1,1,2,1,1,2,2,1,1,2,2,1,1,2,4,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,1,1,1,1,1,1,6,0,9,6,0,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,5,2,1,1,1,4,4,4,2,2,1,2,2,2
urbana,90750,1,1,1,1,2,2,3,3,12,6,6,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,1,1,1,1,2,2,4,0,5,5,0,1,2,1,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
urbana,90750,1,1,1,1,1,2,5,0,6,6,0,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,3,2,2,2,2,5,5,5,1,1,3,5,1,5
urbana,90750,1,1,1,1,1,2,4,0,5,5,0,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,4,1,2,1,1,5,5,5,5,5,5,5,5,5
urbana,90750,1,1,1,2,1,1,2,0,6,6,0,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,3,5,5,5,1,1,5,1
urbana,90750,1,1,1,2,2,2,4,0,2,2,0,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,5,5,5,2,2,2,1,1,4
urbana,90750,1,1,1,2,1,1,8,0,6,6,0,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,4,2,2,2,1,5,5,5,5,5,5,1,5,5
urbana,90750,1,2,2,2,2,2,6,0,3,3,0,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,5,5,5,5,5,1,5,5,5
urbana,90750,1,1,1,2,2,2,4,0,4,4,0,2,2,1,1,2,2,2,2,1,1,2,1,2,2,2,5,2,2,2,2,4,4,4,3,3,1,3,3,3
urbana,90750,1,1,1,1,2,2,2,0,2,2,0,2,2,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,2,1,1,1,2,2,0,0,0,0,0,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1
urbana,90750,1,1,1,1,1,1,2,0,4,4,0,1,1,3,2,3,3,2,1,1,2,2,2,2,2,3,5,2,2,2,2,5,5,5,3,3,1,5,1,5
urbana,90750,1,1,1,1,1,1,6,0,10,10,0,1,1,2,3,2,2,3,2,2,2,1,2,1,2,2,4,2,2,2,2,5,5,5,1,5,1,5,5,5
urbana,90750,1,1,1,1,1,1,4,0,3,3,0,1,1,3,3,3,3,2,2,1,1,1,1,2,2,2,4,2,2,2,2,4,4,4,2,2,1,2,2,2
urbana,90750,1,1,1,1,1,1,6,0,8,8,0,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,3,2,2,2,1,5,5,5,3,3,3,5,5,5
urbana,90750,1,1,1,1,2,2,2,0,4,4,0,1,2,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,1,2,2,2,2,2,3,0,5,5,0,1,1,1,1,2,2,2,2,1,1,2,2,1,2,2,5,2,2,2,2,4,4,4,4,4,4,1,1,1
urbana,90750,1,1,1,1,1,1,2,0,2,2,0,1,1,1,1,2,2,2,2,1,1,3,2,1,3,3,5,2,2,2,2,5,4,5,5,5,1,2,5,5
urbana,90750,1,1,1,1,1,1,8,0,3,3,0,1,1,3,3,3,3,2,2,1,1,2,2,2,2,2,3,2,2,2,2,5,1,5,5,5,1,5,5,5
urbana,90750,1,1,1,1,1,1,2,0,2,2,0,1,1,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,3,5,5,5,5,5,5,5,5
urbana,90750,2,2,1,2,2,2,10,0,15,15,0,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,5,1,2,2,2,5,5,5,5,5,5,2,5,5
urbana,90750,2,1,1,2,2,2,8,0,7,4,0,2,2,1,1,1,2,2,2,2,1,2,1,1,1,2,4,2,2,1,2,5,5,5,5,5,2,1,1,2
urbana,90750,2,1,1,2,2,2,2,0,6,5,0,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,3,2,2,2,2,5,5,5,4,4,2,1,2,1
urbana,90750,2,2,1,2,2,2,18,0,20,20,0,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,4,2,2,2,2,5,5,5,5,5,1,1,5,3
urbana,90750,1,2,1,2,2,2,10,0,8,4,0,2,1,1,1,1,2,1,2,1,1,2,1,1,2,2,5,2,2,2,2,5,5,5,5,5,5,4,2,3
urbana,90750,2,2,2,2,2,2,12,0,6,6,0,1,1,1,1,2,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,4,4,5,5,5,3,2,4,4
urbana,90750,2,2,2,2,2,2,0,0,8,8,0,1,1,1,2,1,2,2,2,1,1,2,1,1,2,2,4,2,2,1,1,5,4,5,5,5,3,1,5,5
urbana,90750,2,2,2,2,2,2,0,0,8,8,0,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,3,1,2,2,2,3,3,3,3,3,3,4,4,3
urbana,90750,2,2,1,2,2,2,2,0,10,0,0,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,3,4,3,3,3,3,3,3,3
urbana,90750,2,2,2,2,2,2,3,0,8,8,0,1,2,1,2,2,2,2,2,1,1,2,1,1,1,2,4,2,2,2,2,4,5,5,4,4,2,4,3,5
urbana,90750,2,2,2,2,2,2,6,0,8,8,0,1,2,1,1,1,2,2,2,1,1,2,2,1,1,2,3,2,1,2,2,5,5,5,5,5,1,4,4,5
urbana,90750,2,1,2,2,2,2,4,0,8,5,3,2,2,1,1,2,2,2,2,1,2,2,2,1,1,2,3,2,2,2,2,5,4,5,5,5,1,1,1,3
urbana,90750,2,1,1,1,1,2,2,0,5,5,0,1,1,3,3,3,3,3,3,1,1,2,2,1,1,2,3,2,2,2,1,5,4,3,3,5,4,3,3,4
urbana,90750,2,2,2,2,2,2,0,0,6,6,0,1,1,3,3,3,3,3,3,1,1,2,2,1,1,2,3,2,2,2,2,5,5,5,5,5,2,4,4,4
urbana,90750,2,2,1,2,2,2,6,0,5,5,0,1,2,3,3,3,3,3,3,1,1,2,2,1,2,2,4,2,2,2,2,5,5,99,4,5,1,4,4,5
urbana,90750,2,2,1,2,2,2,6,0,2,2,0,1,2,3,3,3,3,3,2,1,1,2,1,1,2,2,3,2,2,2,2,5,4,5,3,5,3,3,4,5
urbana,90750,2,2,2,2,2,2,2,0,2,2,0,1,1,3,3,3,3,3,2,1,1,2,2,1,1,2,3,2,2,2,2,4,4,4,4,4,1,2,2,4
urbana,90750,2,2,2,2,2,2,2,0,4,4,0,1,1,3,3,3,3,3,3,1,1,2,1,2,2,2,3,2,2,2,2,4,4,4,4,5,4,4,3,3
urbana,90750,2,2,2,2,2,2,2,0,8,7,1,1,1,3,3,3,3,3,3,1,1,2,1,1,2,2,3,2,2,2,2,5,4,4,5,5,1,1,5,4
urbana,90750,1,1,1,2,1,2,3,0,4,4,4,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,3,2,1,1,2,1,3,1,1,1,2,5,5,1
urbana,90750,2,2,2,2,2,2,5,0,5,4,1,1,1,3,3,3,3,3,2,1,1,2,2,2,1,2,1,2,2,2,2,5,5,5,4,5,4,1,5,4
urbana,90750,2,1,2,2,2,2,2,0,6,6,0,1,1,3,3,3,3,3,2,1,1,2,1,1,1,2,4,2,2,2,2,2,3,4,5,4,2,5,3,2
urbana,90750,1,1,1,1,1,1,4,0,5,5,0,1,2,3,3,3,3,3,3,1,1,2,1,1,1,2,5,2,2,2,2,5,5,5,5,5,1,5,5,5
urbana,90750,2,2,2,2,2,2,4,0,2,2,0,1,1,3,3,3,3,3,3,1,1,3,2,1,1,1,3,2,2,2,2,5,5,5,5,5,2,5,1,5
urbana,90750,1,1,1,1,2,2,4,0,5,3,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,2,2,2,2,2,2,0,0,3,3,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3
urbana,90750,1,2,2,2,2,2,8,0,6,6,0,1,2,1,2,1,2,1,2,1,1,2,1,1,2,2,3,2,2,2,2,5,5,5,2,2,2,3,3,3
urbana,90750,1,1,1,1,1,1,7,0,4,4,0,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,1,2,2,2,2,5,5,5,4,4,1,1,1,1
urbana,90750,1,1,1,1,1,1,2,0,6,6,0,1,2,2,1,1,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,5,5,5,1,5,5,1,5,1
urbana,90750,1,1,1,1,1,1,4,0,5,5,0,1,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,5,1,3,5,5,1,5,5,5
